CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
1,3,16,557164,0.0000287169,Rendah,#CCCCFF
2,3,29,877121,0.0000330627,Rendah,#CCCCFF
3,3,22,699526,0.0000314499,Rendah,#CCCCFF
4,3,26,1047645,0.0000248176,Rendah,#CCCCFF
5,3,25,1167796,0.0000214078,Rendah,#CCCCFF
6,3,47,1587132,0.0000296132,Rendah,#CCCCFF
7,3,61,2637160,0.0000231309,Rendah,#CCCCFF
8,3,33,1047482,0.0000315041,Rendah,#CCCCFF
9,3,54,2471542,0.0000218487,Rendah,#CCCCFF
10,3,54,1622536,0.0000332812,Rendah,#CCCCFF
11,3,35,782676,0.0000447184,Sedang,#3333FF
12,3,27,689361,0.0000391667,Sedang,#3333FF
13,3,28,1182298,0.0000236827,Rendah,#CCCCFF
14,3,39,1650256,0.0000236327,Rendah,#CCCCFF
15,3,61,2321549,0.0000262756,Rendah,#CCCCFF
16,3,21,1136879,0.0000184716,Rendah,#CCCCFF
17,3,34,1274197,0.0000266835,Rendah,#CCCCFF
18,3,18,1060086,0.0000169798,Rendah,#CCCCFF
19,3,28,685490,0.0000408467,Sedang,#3333FF
20,3,22,636148,0.0000345831,Rendah,#CCCCFF
21,3,25,840327,0.0000297503,Rendah,#CCCCFF
22,3,27,1255119,0.0000215119,Rendah,#CCCCFF
23,3,36,1182070,0.0000304550,Rendah,#CCCCFF
24,3,40,1204437,0.0000332105,Rendah,#CCCCFF
25,3,41,1342628,0.0000305371,Rendah,#CCCCFF
26,3,18,1003188,0.0000179428,Rendah,#CCCCFF
27,3,28,1001140,0.0000279681,Rendah,#CCCCFF
28,3,16,898130,0.0000178148,Rendah,#CCCCFF
29,3,31,1096701,0.0000282666,Rendah,#CCCCFF
30,3,12,291256,0.0000412009,Sedang,#3333FF
31,3,8,143840,0.0000556174,Tinggi,#000080
32,3,27,880169,0.0000306759,Rendah,#CCCCFF
33,3,12,241423,0.0000497053,Sedang,#3333FF
34,3,14,203244,0.0000688827,Tinggi,#000080
35,3,9,131216,0.0000685892,Tinggi,#000080
36,3,8,177972,0.0000449509,Sedang,#3333FF
37,3,124,2918543,0.0000424870,Sedang,#3333FF
38,3,6,211225,0.0000284057,Rendah,#CCCCFF
39,3,1,557164,0.0000017948,Rendah,#B3FFE0
40,3,16,877121,0.0000182415,Rendah,#B3FFE0
41,3,2,699526,0.0000028591,Rendah,#B3FFE0
42,3,11,1047645,0.0000104997,Rendah,#B3FFE0
43,3,11,1167796,0.0000094195,Rendah,#B3FFE0
44,3,15,1587132,0.0000094510,Rendah,#B3FFE0
45,3,36,2637160,0.0000136510,Rendah,#B3FFE0
46,3,5,1047482,0.0000047734,Rendah,#B3FFE0
47,3,306,2471542,0.0001238093,Rendah,#B3FFE0
48,3,20,1622536,0.0000123264,Rendah,#B3FFE0
49,3,4,782676,0.0000051107,Rendah,#B3FFE0
50,3,10,689361,0.0000145062,Rendah,#B3FFE0
51,3,10,1182298,0.0000084581,Rendah,#B3FFE0
52,3,16,1650256,0.0000096955,Rendah,#B3FFE0
53,3,38,2321549,0.0000163684,Rendah,#B3FFE0
54,3,11,1136879,0.0000096756,Rendah,#B3FFE0
55,3,18,1274197,0.0000141265,Rendah,#B3FFE0
56,3,7,1060086,0.0000066032,Rendah,#B3FFE0
57,3,8,685490,0.0000116705,Rendah,#B3FFE0
58,3,5,636148,0.0000078598,Rendah,#B3FFE0
59,3,6,840327,0.0000071401,Rendah,#B3FFE0
60,3,13,1255119,0.0000103576,Rendah,#B3FFE0
61,3,12,1182070,0.0000101517,Rendah,#B3FFE0
62,3,21,1204437,0.0000174355,Rendah,#B3FFE0
63,3,34,1342628,0.0000253235,Rendah,#B3FFE0
64,3,2,1003188,0.0000019936,Rendah,#B3FFE0
65,3,4,1001140,0.0000039954,Rendah,#B3FFE0
66,3,24,898130,0.0000267222,Rendah,#B3FFE0
67,3,3,1096701,0.0000027355,Rendah,#B3FFE0
68,3,251,291256,0.0008617848,Tinggi,#00663D
69,3,10,143840,0.0000695217,Rendah,#B3FFE0
70,3,39,880169,0.0000443097,Rendah,#B3FFE0
71,3,5,241423,0.0000207105,Rendah,#B3FFE0
72,3,5,203244,0.0000246010,Rendah,#B3FFE0
73,3,13,131216,0.0000990733,Rendah,#B3FFE0
74,3,11,177972,0.0000618075,Rendah,#B3FFE0
75,3,636,2918543,0.0002179170,Rendah,#B3FFE0
76,3,12,211225,0.0000568115,Rendah,#B3FFE0
77,3,10,557164,0.0000179480,Rendah,#FFCCE6
78,3,26,877121,0.0000296424,Rendah,#FFCCE6
79,3,8,699526,0.0000114363,Rendah,#FFCCE6
80,3,34,1047645,0.0000324537,Rendah,#FFCCE6
81,3,27,1167796,0.0000231205,Rendah,#FFCCE6
82,3,47,1587132,0.0000296132,Rendah,#FFCCE6
83,3,59,2637160,0.0000223726,Rendah,#FFCCE6
84,3,49,1047482,0.0000467788,Rendah,#FFCCE6
85,3,62,2471542,0.0000250856,Rendah,#FFCCE6
86,3,104,1622536,0.0000640972,Rendah,#FFCCE6
87,3,25,782676,0.0000319417,Rendah,#FFCCE6
88,3,6,689361,0.0000087037,Rendah,#FFCCE6
89,3,12,1182298,0.0000101497,Rendah,#FFCCE6
90,3,50,1650256,0.0000302983,Rendah,#FFCCE6
91,3,247,2321549,0.0001063945,Rendah,#FFCCE6
92,3,32,1136879,0.0000281472,Rendah,#FFCCE6
93,3,43,1274197,0.0000337467,Rendah,#FFCCE6
94,3,32,1060086,0.0000301862,Rendah,#FFCCE6
95,3,3,685490,0.0000043764,Rendah,#FFCCE6
96,3,10,636148,0.0000157196,Rendah,#FFCCE6
97,3,43,840327,0.0000511706,Rendah,#FFCCE6
98,3,60,1255119,0.0000478042,Rendah,#FFCCE6
99,3,37,1182070,0.0000313010,Rendah,#FFCCE6
100,3,10,1204437,0.0000083026,Rendah,#FFCCE6
101,3,68,1342628,0.0000506469,Rendah,#FFCCE6
102,3,7,1003188,0.0000069778,Rendah,#FFCCE6
103,3,4,1001140,0.0000039954,Rendah,#FFCCE6
104,3,18,898130,0.0000200416,Rendah,#FFCCE6
105,3,14,1096701,0.0000127656,Rendah,#FFCCE6
106,3,66,291256,0.0002266048,Sedang,#FF0080
107,3,34,143840,0.0002363737,Sedang,#FF0080
108,3,528,880169,0.0005998848,Tinggi,#660033
109,3,49,241423,0.0002029633,Sedang,#FF0080
110,3,31,203244,0.0001525260,Rendah,#FFCCE6
111,3,21,131216,0.0001600415,Rendah,#FFCCE6
112,3,42,177972,0.0002359922,Sedang,#FF0080
113,3,311,2918543,0.0001065600,Rendah,#FFCCE6
114,3,14,211225,0.0000662800,Rendah,#FFCCE6
1,4,0,557164,0.0000000000,Rendah,#CCCCFF
2,4,0,877121,0.0000000000,Rendah,#CCCCFF
3,4,0,699526,0.0000000000,Rendah,#CCCCFF
4,4,0,1047645,0.0000000000,Rendah,#CCCCFF
5,4,0,1167796,0.0000000000,Rendah,#CCCCFF
6,4,0,1587132,0.0000000000,Rendah,#CCCCFF
7,4,0,2637160,0.0000000000,Rendah,#CCCCFF
8,4,0,1047482,0.0000000000,Rendah,#CCCCFF
9,4,0,2471542,0.0000000000,Rendah,#CCCCFF
10,4,0,1622536,0.0000000000,Rendah,#CCCCFF
11,4,0,782676,0.0000000000,Rendah,#CCCCFF
12,4,0,689361,0.0000000000,Rendah,#CCCCFF
13,4,0,1182298,0.0000000000,Rendah,#CCCCFF
14,4,0,1650256,0.0000000000,Rendah,#CCCCFF
15,4,1,2321549,0.0000004307,Sedang,#3333FF
16,4,0,1136879,0.0000000000,Rendah,#CCCCFF
17,4,0,1274197,0.0000000000,Rendah,#CCCCFF
18,4,0,1060086,0.0000000000,Rendah,#CCCCFF
19,4,0,685490,0.0000000000,Rendah,#CCCCFF
20,4,0,636148,0.0000000000,Rendah,#CCCCFF
21,4,0,840327,0.0000000000,Rendah,#CCCCFF
22,4,0,1255119,0.0000000000,Rendah,#CCCCFF
23,4,0,1182070,0.0000000000,Rendah,#CCCCFF
24,4,0,1204437,0.0000000000,Rendah,#CCCCFF
25,4,0,1342628,0.0000000000,Rendah,#CCCCFF
26,4,0,1003188,0.0000000000,Rendah,#CCCCFF
27,4,0,1001140,0.0000000000,Rendah,#CCCCFF
28,4,0,898130,0.0000000000,Rendah,#CCCCFF
29,4,0,1096701,0.0000000000,Rendah,#CCCCFF
30,4,0,291256,0.0000000000,Rendah,#CCCCFF
31,4,0,143840,0.0000000000,Rendah,#CCCCFF
32,4,0,880169,0.0000000000,Rendah,#CCCCFF
33,4,0,241423,0.0000000000,Rendah,#CCCCFF
34,4,0,203244,0.0000000000,Rendah,#CCCCFF
35,4,0,131216,0.0000000000,Rendah,#CCCCFF
36,4,0,177972,0.0000000000,Rendah,#CCCCFF
37,4,2,2918543,0.0000006853,Tinggi,#000080
38,4,0,211225,0.0000000000,Rendah,#CCCCFF
39,4,6,557164,0.0000107688,Rendah,#B3FFE0
40,4,2,877121,0.0000022802,Rendah,#B3FFE0
41,4,0,699526,0.0000000000,Rendah,#B3FFE0
